,HW_1b,HW_2b,HW_4b,HW_5b,HW_6b,HW_9b,HW_11b,HW_13b,HW_16b,HW_17b,HW_18b,HW_20b,HW_21b,HW_23b,HW_27b,HW_29b,HW_34b,HW_35b,HW_39b,HW_41b,HW_43b,HW_45b,HW_46b,HW_47b,HW_49b,HW_50b
28/09/2015,13,4930,18304,,14132,2783,536,6029,0,12656,58,0,23266,37,133,8100,4336,280,1746,19298,291,0,869,80,1885,272
29/09/2015,12,4861,16558,,12800,2771,533,4816,0,12229,50,0,22317,38,133,8123,4067,279,1558,18528,289,0,871,79,1790,273
30/09/2015,12,4724,12872,,13826,3229,513,5738,0,11204,55,0,19864,34,128,8017,3622,275,1674,18000,288,0,878,79,1658,271
1/10/2015,13,4507,12154,,12626,10168,487,5492,0,11167,49,0,11571,35,130,7788,2907,296,1979,15640,286,0,865,79,1569,268
2/10/2015,13,4235,14797,,10708,13405,457,5431,0,11450,33,0,4633,40,126,7623,3581,307,2384,12735,283,0,847,78,1651,268
3/10/2015,13,4039,14499,,9810,13035,486,5261,0,10821,26,0,5676,35,126,7688,3741,316,2429,11659,284,0,839,76,1976,268
4/10/2015,13,3965,14192,,9299,10679,511,5066,0,10122,27,0,9822,38,127,7898,4440,291,2075,11994,284,0,851,79,1892,270
5/10/2015,13,3875,14561,,9317,10386,506,5100,0,9753,21,0,7358,35,128,7843,3971,295,1928,11491,283,0,859,78,1785,270
6/10/2015,14,3790,15181,,7532,7851,513,5022,0,9428,20,0,9565,38,131,7847,2238,287,1787,11445,284,0,872,79,1890,272
7/10/2015,14,3662,14102,,8009,10828,474,4861,0,8975,16,0,3602,38,126,7840,1929,284,1784,9774,283,0,857,78,1445,267
8/10/2015,14,3606,14176,,8635,13050,459,4804,0,9170,13,0,1530,35,125,7583,1196,318,2413,8980,280,0,830,77,1795,267
9/10/2015,14,3576,14778,,8145,13105,483,4655,0,8893,13,0,3098,39,126,7552,1079,294,2325,9274,279,0,820,76,1875,265
10/10/2015,14,3532,14391,,7593,11851,503,4543,0,8578,16,0,5020,37,129,7604,980,315,2226,9693,281,0,831,78,1947,267
11/10/2015,14,3464,15188,,5713,5886,525,4532,0,8594,20,0,11326,42,128,7719,857,352,1840,10399,284,0,850,78,2004,270
12/10/2015,14,3401,15698,,5074,2744,535,4509,0,8552,19,0,15021,39,127,7905,992,308,1330,11184,287,0,855,80,1843,271
13/10/2015,14,3325,15622,,6020,4289,508,4292,0,8296,17,0,10571,37,129,7689,869,297,1398,10394,283,0,845,78,1552,268
14/10/2015,14,3269,16798,,5578,9859,495,4169,0,8367,19,0,5660,37,124,7575,701,317,1607,9966,281,0,832,79,1715,267
15/10/2015,14,3202,14364,,4015,9437,500,4288,0,8513,18,0,6159,39,126,7562,655,296,1617,9885,290,239,828,77,1800,267
16/10/2015,15,3137,15076,,4078,8614,502,4630,0,8613,17,0,7378,37,124,7523,892,317,1536,9852,280,375,822,76,1736,265
17/10/2015,14,3058,15542,,3753,9895,490,4519,0,8551,16,0,5490,34,123,7494,756,324,1523,9243,278,370,812,77,1650,263
18/10/2015,14,2986,14065,,4422,10727,487,4536,0,8593,17,0,4454,36,122,7423,666,313,1604,9145,277,360,801,75,1743,266
19/10/2015,15,2939,13987,,5463,9168,501,4456,0,8603,17,0,6514,37,124,7502,661,329,1549,9765,277,361,795,74,1830,263
20/10/2015,14,2902,14234,,5091,4285,514,4434,0,8167,19,0,12245,35,127,7666,960,301,1357,10784,278,352,795,78,1906,267
21/10/2015,14,2861,14130,,3672,2871,528,4491,0,8264,18,0,14110,32,125,7671,1121,277,1120,11438,280,351,792,77,1785,265
22/10/2015,14,2816,13743,,3249,2493,517,4391,0,8733,17,0,12340,33,126,7661,1199,282,987,11409,281,349,790,78,1560,264
23/10/2015,14,2753,13174,,4243,6951,489,4210,0,8979,15,0,6134,38,122,7560,1230,296,1280,10641,279,350,781,77,1542,263
24/10/2015,15,2702,12781,,4504,9566,482,4133,0,9222,18,0,3758,35,123,7460,1218,284,1374,10438,278,349,768,78,1636,264
25/10/2015,14,2659,12475,,4422,7413,490,4029,0,8999,15,0,6387,33,127,7399,1201,264,1299,10975,278,348,762,76,1703,263
26/10/2015,14,2601,12111,,3096,3309,497,3992,0,8212,17,0,10096,39,120,7446,1239,277,1103,10981,278,345,752,77,1640,265
27/10/2015,14,2483,12131,,3245,10191,458,3944,0,8288,16,0,1639,33,117,7382,1302,297,1266,9350,274,343,703,77,1541,264
28/10/2015,14,2398,11921,,3273,9211,486,3855,0,8120,14,0,3523,37,121,7455,1305,270,1319,9456,274,343,698,77,1744,261
29/10/2015,14,2339,11876,,2523,9491,485,3776,0,7636,13,0,3026,35,119,7343,1327,268,1167,9427,274,341,682,77,1674,264
30/10/2015,14,2306,11853,,2469,8212,486,3725,0,7666,11,0,4434,37,120,7344,1485,283,1138,9786,273,340,664,75,1696,264
31/10/2015,14,2281,12223,,2082,5007,497,3709,0,7878,10,0,7256,33,121,7320,1724,287,1014,10620,275,338,660,76,1694,264
1/11/2015,13,2257,11977,,1774,2485,510,3691,0,7916,8,0,11193,33,124,7451,1787,294,919,11509,276,336,658,76,1863,265
2/11/2015,14,2213,11294,,1573,2364,502,3601,0,7730,11,0,10947,35,123,7497,1785,257,960,11539,280,334,661,76,1537,264
3/11/2015,13,2122,10740,,1576,2552,485,3517,0,7851,12,0,10040,30,124,7476,2129,257,1170,10550,278,339,648,78,1581,263
4/11/2015,14,2074,11235,,785,4513,485,3497,0,7807,22,0,11006,32,122,7547,2405,254,1260,10630,278,341,649,78,1698,262
5/11/2015,14,2041,11163,,710,2885,511,3497,0,8213,13,0,13636,38,119,7543,2028,251,1172,11693,280,359,654,76,1814,266
6/11/2015,13,1984,10963,,1467,2650,512,3458,0,8192,14,0,11916,35,121,7509,1783,250,1029,11839,280,364,651,79,1555,262
7/11/2015,13,1896,12489,,14840,8820,493,4532,0,8438,62,0,37911,34,123,7620,3398,247,1065,10822,279,363,657,78,1442,264
8/11/2015,14,1814,13330,,12814,11152,479,6944,0,8360,59,0,27886,36,125,7668,4459,276,1266,9678,277,347,640,76,1512,262
9/11/2015,14,1755,12875,,15540,10737,505,6490,0,7937,69,0,22190,37,126,7863,4502,270,1407,9999,276,334,639,78,1744,263
10/11/2015,14,1721,12868,,16984,7646,520,6125,0,7657,62,0,23417,35,126,7876,6743,256,1268,10431,277,326,639,77,1620,261
11/11/2015,14,1663,12184,,16571,10784,515,6005,0,7442,52,0,16124,35,123,7808,7761,245,1368,9865,274,318,642,77,1585,261
12/11/2015,14,1627,11442,,12240,7602,528,5840,0,7297,41,0,16306,37,126,7692,6383,214,1376,10318,275,316,641,77,1743,261
13/11/2015,14,1629,79327,,131541,13439,544,7398,0,7363,80,0,40001,39,130,7773,7022,224,1109,12542,309,312,772,85,1885,278
14/11/2015,16,5885,14878,,163028,18587,561,10093,0,10127,78,0,48372,34,128,8050,5599,214,1037,110447,410,370,938,111,1932,320
15/11/2015,36,6448,5238,,106743,11979,559,9460,0,11461,79,0,48445,39,133,8061,4225,240,1153,114043,360,466,931,98,1773,303
16/11/2015,124,5366,2959,,80258,8734,561,9353,0,11423,78,0,46033,37,124,8013,4412,240,1302,97674,332,494,924,91,1703,293
17/11/2015,141,4663,5509,,66556,5916,566,9251,631,9965,77,4135,37868,38,104,6540,4296,205,1323,81141,321,486,727,88,1260,223
18/11/2015,52,3373,8075,,53528,1062,583,9119,2194,17469,70,9722,32826,40,113,7875,4997,202,254,60788,316,509,192,69,329,230
19/11/2015,24,3896,10107,,31048,6304,548,8785,2174,11441,75,6045,28699,35,125,7810,4977,308,1211,61763,300,451,897,82,1679,284
20/11/2015,17,3779,10766,,19859,6598,554,8783,2184,11202,77,7787,30852,34,127,7793,4972,329,1159,57819,296,442,894,83,1802,284
21/11/2015,16,3519,11576,,17487,6406,531,8350,2147,10643,60,3813,23509,38,127,7604,6688,348,1110,51377,293,440,887,82,1455,280
22/11/2015,15,3290,12355,,15089,7590,528,8113,2148,9839,59,4464,25553,37,125,7673,4726,342,1272,46068,291,444,891,81,1739,282
23/11/2015,14,3109,11683,,13234,5932,527,8084,2134,9817,50,4292,25376,38,122,7573,1892,314,1083,39201,290,453,892,81,1575,280
24/11/2015,15,3026,11334,,12698,5647,516,7869,2113,9843,47,3554,23787,35,117,7537,2101,315,1101,35449,288,454,888,80,1634,281
25/11/2015,13,2981,11224,,10953,6011,534,7615,2122,9574,51,4397,26058,36,118,7561,2504,305,1061,35377,289,460,887,77,2158,281
26/11/2015,14,2953,12267,,8907,8705,531,7831,2104,9669,59,3362,22555,36,126,7673,2354,301,923,35380,292,466,879,79,1567,279
27/11/2015,13,2884,12131,,8969,11597,497,7168,2048,9422,30,440,10093,35,120,7544,2213,326,1047,32624,288,466,863,81,1716,274
28/11/2015,14,2768,10740,,4659,13452,503,6955,2035,9268,27,463,9690,33,118,7476,2441,316,1137,30788,287,459,853,80,1857,272
29/11/2015,13,2675,12835,,3821,12996,516,6797,2033,10018,21,586,10482,35,119,7464,2367,309,1117,29815,287,454,849,80,1866,273
30/11/2015,14,2618,12035,,3941,13163,523,6729,2027,10590,22,581,10793,33,120,7410,2651,299,1065,29337,286,452,856,81,1839,271
1/12/2015,13,2549,11854,,3799,14880,526,6511,2016,11054,24,563,8714,35,119,7436,2667,282,1025,28864,286,454,853,79,1752,274
2/12/2015,14,2436,10793,,4674,16251,497,6280,1974,11375,17,474,1405,33,119,7318,3138,294,1028,26655,283,447,849,77,1401,271
3/12/2015,14,2313,9986,,6332,15962,471,5973,1982,10342,18,397,1001,33,113,7196,1830,316,1245,23602,280,437,852,78,1677,267
4/12/2015,15,2242,10032,,6298,15644,496,5735,1970,9272,17,462,3723,33,112,7155,1206,303,1227,22944,279,426,862,78,1887,267
5/12/2015,14,2191,9642,,6075,10567,505,5458,1924,8601,21,517,8546,34,110,7186,1067,285,1072,22899,280,415,859,75,1859,268
6/12/2015,14,2147,9241,,5663,5176,509,5272,1917,8227,19,608,13294,35,116,7281,967,272,1020,22847,280,409,839,77,1854,270
7/12/2015,14,2119,8507,,6259,2204,512,5110,1899,7906,17,679,15255,39,114,7263,750,261,976,23011,279,403,836,79,1813,266
8/12/2015,15,2088,8547,,4807,1644,518,5006,1897,7998,14,720,16189,35,119,7284,652,251,938,23104,280,402,841,79,1866,270
9/12/2015,14,2034,7761,,5369,1341,516,4870,1887,7733,17,703,15426,38,118,7204,764,247,890,22523,280,399,835,79,1763,267
10/12/2015,14,1993,7994,,5378,1604,522,4846,1883,7593,18,717,15728,36,117,7230,830,243,904,22576,280,395,831,79,1944,272
11/12/2015,14,1987,8157,,5034,1925,533,4846,1879,7727,19,613,15919,32,117,7348,1184,237,838,23465,282,390,816,79,1766,269
12/12/2015,13,1907,7003,,5127,1735,509,4725,1833,7971,17,558,11964,33,114,7179,1012,245,822,21916,280,383,811,78,1555,268
13/12/2015,14,1850,6747,,4577,7361,499,4512,1809,8597,15,481,6501,32,117,7099,831,246,932,5441,279,378,791,79,1715,267
14/12/2015,14,1801,6616,,4302,7423,501,4449,1790,8199,13,485,6409,35,117,7105,815,248,948,,279,371,784,76,1753,265
15/12/2015,14,1744,6528,,4753,6513,502,4413,1776,8240,14,476,6254,37,114,7131,803,239,917,,278,361,792,79,1718,267
16/12/2015,14,1678,6590,,4276,6965,499,4331,1758,7948,13,436,4285,32,111,7129,771,241,896,,278,352,774,77,1690,268
17/12/2015,14,1625,5254,,3387,7615,496,4280,1751,8282,15,399,2767,36,115,7047,667,239,914,,277,344,764,78,1684,263
18/12/2015,15,1575,5054,,4457,6819,496,4172,1752,8541,11,383,2252,37,110,7072,611,235,919,,278,343,762,79,1733,267
19/12/2015,14,1535,5761,,4423,5473,500,4123,1753,8425,12,395,4190,35,110,7021,617,227,886,,278,332,745,77,1753,266
20/12/2015,14,1517,5690,,3912,2426,505,3953,1752,8700,13,445,9013,36,111,7149,683,217,898,,279,328,742,77,1742,267
21/12/2015,14,1459,5662,,2197,5037,470,3927,1721,8708,13,362,3502,33,107,7000,703,234,954,,283,327,733,79,1430,266
22/12/2015,14,1430,5326,,2792,6637,460,3978,1716,8567,7,342,472,34,111,6995,645,242,1077,,275,324,708,78,1734,265
23/12/2015,15,1390,6107,,3535,7524,476,3859,1716,7692,7,378,1223,37,116,6974,591,231,1065,,275,322,718,78,1784,263
24/12/2015,14,1347,5862,,3152,7060,474,3753,1716,7163,10,385,1593,34,115,6988,570,227,1045,,277,320,705,77,1728,265
25/12/2015,14,1329,6045,,2178,4006,488,3717,1730,7215,13,446,4312,31,114,7073,564,216,1035,,278,318,707,78,1915,266
26/12/2015,14,1344,6693,,1890,635,508,3662,1733,7188,9,491,7179,32,117,7165,748,219,924,,279,315,705,78,1705,266
27/12/2015,14,1293,5643,,2047,2582,454,3635,1678,6932,14,329,1767,34,112,6968,758,248,1066,,279,311,688,79,1313,259
28/12/2015,15,1234,4442,,2250,1,445,3671,1658,7106,10,358,2653,31,111,6909,485,258,1253,,276,315,667,77,1623,261
29/12/2015,14,1172,4642,,1338,1,549,3642,1660,6948,7,356,3371,141,110,7009,569,249,1158,,276,314,657,78,1764,263
30/12/2015,15,1120,4630,,899,8,478,3582,1648,6919,10,378,4712,55,112,7039,767,243,1000,,277,308,659,77,1735,264
31/12/2015,14,1095,5134,,1745,1043,482,3512,1634,6601,7,378,5985,45,114,7076,866,239,932,,276,305,662,78,1732,259
1/01/2016,15,1057,8539,,39435,1620,486,3461,1629,6734,24,2093,9184,40,118,7062,777,233,906,,277,303,651,78,1749,259
2/01/2016,14,1052,7518,,68806,18933,501,3877,1624,6569,64,30199,41622,42,116,7134,1078,224,900,,279,303,668,79,1757,262
3/01/2016,14,1027,5335,,39308,13166,507,4213,1605,6764,58,1829,14491,32,119,7347,1789,237,885,,279,298,682,80,1585,262
4/01/2016,14,1013,4299,,21018,14258,521,4218,1597,6454,46,392,2650,35,115,7472,1839,244,927,,277,317,689,78,1694,262
5/01/2016,15,1011,5925,,29719,14729,541,4112,1602,6235,60,2680,10569,39,120,7533,1799,235,958,,278,322,678,79,1758,262
6/01/2016,14,998,5525,,40322,22403,549,5027,1595,5991,72,17443,37294,34,121,7610,2410,232,983,,280,314,690,78,1671,263
7/01/2016,15,984,5268,,24986,22902,554,5105,1599,6439,64,1794,14070,34,123,7650,3234,239,1079,,279,309,688,79,1618,264
8/01/2016,14,953,5921,,24048,21183,553,4914,1585,6522,54,372,790,35,127,7603,3689,252,1260,,276,301,702,77,1584,259
9/01/2016,15,930,6756,,19595,13283,560,4681,1581,6486,40,377,975,36,123,7629,4241,256,1356,,274,297,693,78,1698,261
10/01/2016,14,915,5823,,14987,563,569,4532,1583,6837,36,484,9759,36,119,7662,4545,259,1363,,275,296,693,78,1797,263
11/01/2016,15,921,5138,,11996,540,576,4472,1594,7070,27,440,9140,35,119,7637,4556,252,1322,,278,295,702,78,1797,258
12/01/2016,14,911,6393,,9729,393,562,4310,1582,6763,35,441,8517,33,118,7514,3960,263,1296,,275,290,701,79,1513,259
13/01/2016,14,884,6516,,9429,1950,549,4179,1578,6828,27,432,7318,34,118,7549,4356,266,1359,,276,292,701,76,1678,257
14/01/2016,15,863,6529,,9158,1022,546,4154,1574,6765,31,447,8434,43,110,7444,4167,252,1309,,277,291,700,78,1566,262
15/01/2016,14,809,6113,,8628,2446,507,3870,1549,6085,22,370,1497,35,116,7209,3877,277,1398,,273,283,708,78,1415,258
16/01/2016,15,785,6594,,4446,1,509,3950,1552,6708,18,356,663,35,118,7307,3730,275,1497,,271,285,728,77,1715,260
17/01/2016,15,771,7049,,4412,0,518,4405,1540,6845,25,350,579,36,117,7277,3138,262,1450,,272,288,726,77,1802,263
18/01/2016,15,782,8360,,5755,0,528,4387,1545,6501,20,318,536,39,122,7287,2979,250,1352,,275,290,703,78,1756,261
19/01/2016,14,788,7230,,5745,1,530,4376,1542,6621,26,299,535,38,115,7305,3049,243,1298,,275,290,697,79,1781,261
20/01/2016,14,796,7172,,4565,0,532,4262,1538,6509,25,294,536,33,114,7325,2998,238,1223,,286,251,688,78,1685,263
21/01/2016,15,789,7178,,3587,0,530,4194,1535,6414,29,306,558,34,112,7331,2782,239,1207,,278,279,694,75,1684,261
22/01/2016,14,794,7216,,4085,0,534,4215,1541,6141,25,322,580,37,111,7463,2445,229,1206,,280,268,694,77,1785,261
23/01/2016,14,792,7192,,1661,1,529,4101,1531,6402,27,355,3427,36,111,7303,2114,252,1162,,281,270,690,78,1528,262
24/01/2016,14,770,7514,,2518,3,516,4000,1522,6300,27,357,4230,36,115,7299,2159,252,1221,,279,270,681,77,1592,256
25/01/2016,14,750,7617,,4765,1,507,3975,1515,6169,28,352,2844,37,113,7484,2477,252,1237,,278,270,684,77,1529,259
26/01/2016,14,701,7502,,5201,0,495,3775,1503,6589,28,347,2615,36,116,7361,2537,253,1286,,276,269,671,77,1551,261
27/01/2016,14,683,8006,,9687,2,511,3720,1514,6151,26,363,3801,5,113,7494,2365,245,1275,,277,272,673,77,1837,261
28/01/2016,14,716,7656,,12015,2191,536,3902,1526,5928,48,2060,17930,,119,7856,2486,238,1192,,280,273,678,78,1776,264
29/01/2016,10,565,4935,,7120,1415,408,2888,1119,4484,45,3547,19560,,88,5776,1346,182,805,,205,200,486,57,1253,192
30/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
1/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
2/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
3/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
4/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
5/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
6/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
7/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
8/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
9/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
15/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
26/02/2016,11,1350,4588,20105,2777,3029,417,3543,1064,5175,,365,13072,82,73,5546,1506,173,726,20489,215,299,632,,1157,211
27/02/2016,15,1675,5871,24896,4309,3490,525,4369,1356,5873,,455,15429,92,93,7097,2002,229,935,25492,276,376,806,,1540,266
28/02/2016,14,1631,6510,26292,5275,3442,521,4266,1352,5833,,425,15219,92,94,6939,2060,240,911,24547,275,373,802,,1548,268
29/02/2016,15,1597,6773,26352,3951,3258,515,4198,1338,5747,,412,14969,98,92,6880,2219,234,878,23761,272,369,789,,1510,267
1/03/2016,15,1572,7074,26328,4570,2970,514,4005,1339,5506,,296,14151,104,92,6863,1998,244,885,22895,272,365,785,,1563,267
2/03/2016,15,1536,7234,25851,4797,2953,512,4027,1327,5348,,349,14203,108,92,6859,1817,234,805,22076,271,361,783,,1501,266
3/03/2016,15,1452,7526,25566,4092,2733,505,3926,1322,5446,,295,13639,97,91,6806,2088,248,745,20819,272,361,773,,1466,266
4/03/2016,15,1510,7810,26134,3524,2407,510,3776,1323,5564,,270,12656,102,91,6878,1836,238,815,19845,273,357,771,,1590,266
5/03/2016,15,1648,7870,25804,1334,2308,504,3734,1306,5413,,222,12319,94,91,6871,1578,258,713,19025,272,359,759,,1505,265
6/03/2016,15,1527,7512,26162,1424,2135,503,3754,1302,5126,,250,11847,96,92,6828,1405,253,720,17930,270,349,754,,1550,265
7/03/2016,15,1516,7680,25927,1795,2185,499,3646,1300,5095,,156,11889,98,91,6816,1416,254,651,17233,272,340,752,,1491,264
8/03/2016,15,1233,8115,24991,1669,2094,496,3560,1305,5384,,103,11650,86,92,6913,1472,252,681,16975,272,330,739,,1537,265
9/03/2016,15,1264,8057,24905,3424,1938,499,3544,1309,5118,,144,11774,101,91,6908,1334,241,649,16423,273,325,722,,1523,264
10/03/2016,15,1266,8021,24181,3503,1668,495,3489,1306,5213,,156,11863,89,92,6919,1339,238,632,16042,272,323,715,,1492,265
11/03/2016,14,1270,7929,24196,1746,1575,499,3397,1313,4966,,144,11726,99,92,6905,1441,248,660,15915,272,318,700,,1539,265
12/03/2016,15,1253,8409,23804,2284,1641,491,3392,1309,4833,,133,12089,95,92,6897,1452,259,791,15244,273,314,700,,1465,264
13/03/2016,15,1248,8403,25013,3185,1445,497,3321,1308,4930,,138,11464,99,92,6958,1484,260,523,15234,274,315,702,,1525,265
14/03/2016,15,1368,8350,26322,4593,1329,500,3286,1305,4807,,80,12102,97,94,7025,1453,247,418,14910,274,310,696,,1478,265
15/03/2016,15,1431,8632,26240,2860,1428,490,3238,1294,4848,,58,12588,101,92,7071,1573,252,383,13958,272,308,679,,1424,264
16/03/2016,14,1441,9043,19318,4499,1151,494,3173,1296,4843,,58,11663,105,93,7024,1874,245,384,13766,274,306,664,,1500,263
17/03/2016,15,1473,8911,18655,4225,1256,518,2571,1311,4926,,47,12038,108,95,7072,1524,225,404,14044,276,305,674,,1660,266
18/03/2016,14,1567,8366,19382,6707,3266,551,3181,1326,5075,,0,22354,108,96,7284,1842,207,403,14529,282,320,681,,2128,267
19/03/2016,15,1561,8220,9,10007,2826,517,3592,1274,5287,,0,39838,90,93,7010,2509,237,358,13746,278,324,674,,1379,263
20/03/2016,14,1514,8753,7,9188,14,507,3696,1258,5415,,0,22799,92,94,7062,2512,247,355,13181,276,327,649,,1640,263
21/03/2016,14,1456,8897,49,10949,13,510,3782,1252,5621,,0,17817,94,97,7373,2314,256,362,12525,276,327,652,,1708,262
22/03/2016,16,1398,8588,47,12472,12,514,3918,1242,5545,,0,15307,98,99,7599,1830,244,363,11704,274,323,652,,1729,262
23/03/2016,16,1353,8632,542,11490,10,512,3946,1235,5011,,0,14655,98,100,7629,1822,262,354,10621,273,315,643,,1645,262
24/03/2016,16,1323,8391,438,10561,31,506,3956,1222,5196,,0,13228,96,98,7610,1907,259,359,10107,273,312,640,,1734,261
25/03/2016,15,1275,9266,248,6847,13,516,3809,1229,5246,,0,14821,99,100,7677,1901,231,368,9566,247,310,644,,1754,263
26/03/2016,14,1251,9280,524,6917,8,518,4156,1223,5154,,0,14970,102,98,7645,1714,248,362,9117,,307,642,,1722,262
27/03/2016,15,1230,8969,718,6533,11,519,4148,1219,5046,,0,14948,100,98,7533,1798,255,361,8814,,305,633,,1704,261
28/03/2016,14,1209,7674,478,6104,12,520,3949,1216,5004,,0,14844,98,97,7407,2303,223,364,8540,,302,618,,1746,261
29/03/2016,15,1188,6994,628,5488,8,520,3900,1211,4964,,0,14906,101,96,7353,2000,209,362,8324,,301,622,,1716,261
30/03/2016,14,1165,7564,388,5076,3,523,3798,1211,4785,,0,14391,108,96,7294,1915,208,363,8242,,299,618,,1735,261
31/03/2016,14,1138,7342,723,5572,10,515,3642,1201,4790,,0,13487,100,95,7224,1913,240,354,7914,,294,619,,1638,260
1/04/2016,14,1116,7525,944,5701,5,515,3557,1203,5168,,0,13558,97,94,7102,1805,212,360,7890,,289,614,,1729,260
2/04/2016,15,1086,7347,1398,4486,9,508,3520,1184,5130,,0,12646,104,93,7130,1816,207,349,7509,,282,609,,1594,259
3/04/2016,14,1031,6735,1469,2370,28,494,3430,1186,5095,,0,10032,90,93,7005,2103,222,346,6685,,280,596,,1636,258
4/04/2016,15,1008,6992,1817,1703,17,502,3403,1194,5038,,0,11185,100,92,7017,2036,225,363,6803,,283,600,,1844,258
5/04/2016,14,1017,7062,1787,1511,4,512,3344,1178,5000,,0,12554,89,93,7034,1850,212,363,7191,,283,601,,1833,258
6/04/2016,15,1019,7485,1731,1369,7,512,3296,1171,5021,,0,11582,103,93,7125,1771,209,348,7301,,278,592,,1683,259
7/04/2016,14,976,6706,1681,1244,3763,492,3279,1147,4879,,0,6140,98,91,6955,2059,200,331,6637,,276,594,,1566,256
8/04/2016,15,934,6094,1783,1091,6617,488,3136,1146,4668,,0,5459,98,91,6874,2163,207,345,6234,,278,586,,1705,256
9/04/2016,14,895,5869,1762,1091,6576,491,3114,1146,4643,,0,5770,94,91,6959,2214,188,352,6013,,278,595,,1790,256
10/04/2016,14,867,5409,2104,1092,3207,498,3020,1141,4603,,0,7367,106,92,6963,1991,200,351,5891,,276,593,,1768,255
11/04/2016,15,843,5368,2315,1116,1594,493,2967,1122,4622,,0,8028,94,90,6852,1839,211,343,5689,,283,580,,1669,255
12/04/2016,14,803,5147,2475,1157,5492,475,2919,1128,4639,,0,4974,91,90,6809,1550,211,332,5249,,298,586,,1580,254
13/04/2016,15,757,5153,2644,1175,3905,450,4027,1148,4701,,0,3939,98,90,6855,1586,218,325,4712,,296,608,,1541,252
14/04/2016,14,722,5392,2643,1429,5900,456,3955,1149,4759,,0,3826,106,88,6798,1651,224,336,4431,,292,618,,1701,252
15/04/2016,15,706,5059,2581,1285,7773,482,3830,1135,4720,,0,4829,99,90,6797,1585,206,351,3699,,291,621,,1872,253
16/04/2016,15,698,4770,2308,2536,6726,496,3725,1126,4703,,0,5746,92,90,6878,1437,226,341,3885,,293,621,,1758,254
17/04/2016,14,660,4783,2675,3138,5905,486,3689,1112,4695,,0,5204,96,90,6809,1393,226,328,3650,,289,613,,1672,253
18/04/2016,15,630,4766,2790,2902,5071,482,3729,1110,4650,,0,5626,96,89,6802,1351,209,331,3682,,288,605,,1698,253
19/04/2016,15,601,4548,2394,2047,5001,466,3656,1102,4677,,0,4869,99,89,6727,1350,203,321,3464,,286,604,,1582,250
20/04/2016,14,599,4814,1802,2598,5080,456,3670,1092,4588,,0,4407,92,88,6704,1449,218,325,3311,,286,614,,1666,249
21/04/2016,15,580,5859,1139,2037,6614,467,3572,1096,4556,,0,4968,93,88,6689,1390,213,336,3280,,289,617,,1754,250
22/04/2016,14,561,4440,723,1583,5738,468,3541,1093,4526,,0,5151,81,87,6637,1323,218,327,3175,,291,617,,1638,249
23/04/2016,15,514,3979,702,1832,2921,441,3554,1088,4504,,0,4005,91,87,6605,1353,210,311,2688,,285,614,,1472,248
24/04/2016,15,482,3997,670,2829,2523,431,3648,1108,4484,,0,3415,85,86,6559,1454,209,321,1344,,284,626,,1596,246
25/04/2016,15,468,4019,817,3009,2827,439,3620,1127,4398,,0,3355,93,85,6525,1508,215,330,985,,286,630,,1672,245
26/04/2016,15,459,4184,793,2092,5144,460,3534,1148,4067,,0,3778,88,85,6524,1523,200,340,984,,300,633,,1767,245
27/04/2016,12,465,4640,1011,763,6940,483,3433,1149,3987,,0,4505,92,85,6473,1457,194,346,990,,304,631,,1815,244
28/04/2016,15,458,5429,2041,826,5861,487,3361,1116,3893,,0,4627,87,85,6468,1379,210,335,966,,305,629,,1707,245
29/04/2016,14,459,5723,640,1118,3141,497,3291,1080,3813,,0,6618,95,85,6468,1309,195,346,1021,,306,632,,1843,245
